Id,League,Squad,Season,Pl,Poss,MP,Starts,Min,Gls,Ast,PK,PkattFrom,Gls/G,Ast/G,G+A/G,G-PK/G,G+A-PK/G,PIGK,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PkattTo,PKA,PKsv,PKm,FKG,CKGls,OG,CmpGkLn,AttGkLn,Cmp%GkLn,AttGkPss,ThrGkPss,Launch%GkPss,AvgLenGkPss,AttGkGck,Launch%GkGck,AvgLenGkGck,OppGkCrs,StpGkCrs,Stp%GkCrs,#OPAGkSw,#OPA/90GkSw,AvgDistGkSw,Sh,SoT,FKSh,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,CmpPs,AttPs,Cmp%Ps,TotDistPs,PrgDistPs,CmpPsSh,AttPsSh,Cmp%PsS,CmpPsM,AttPsM,Cmp%PsM,CmpPsL,AttPsL,Cmp%PsL,KPs,KPsThird,PsPA,CrsPA,ProgPs,LivePsTp,DeadPsTp,FKPsTp,TBPsTp,PressPsTp,SwPsTp,CrsPsTp,CKPsTp,InCKc,OutCKc,StrCKc,GroundPs,LowPs,HighPs,LeftPs,RightPs,HeadPs,TwInPs,OtherPs,OffPs,OutPs,IntPs,BlockPs,SCA,SCA90,PassLiveSCA,PassDeadSCA,DribSCA,ShSCA,FldSCA,GCA,GCA90,PassLiveGCA,PassDeadGCA,DribGCA,ShGCA,FldGCA,OGGCA,Tkl,TklW,TklDef,TklMid,TklAtt,TklDrb,AttDrb,Tkl%Drb,PastDrb,Press,SuccPres,Press%,PressDef,PressMid,PressAtt,Blocks,BlSh,BlShSv,BlPass,Intercept,Clearance,Errors,Tchs,DefPenTchs,DefTchs,MidTchs,AttTchs,AttPenTchs,LiveTchs,SuccDrbs,AttDrbs,Succ%Drbs,PlDrbs,NtmgsDrbs,Carries,TotDistCrs,PrgDistCrs,TargPs,RecPs,Rec%Ps,Miscntrl,Dispossed,Subs,unSub,PPM,onG,onGA,+/-,+/-90,Crd2Y,FlsCmt,FlDrwn,Offsides,Crosses,PKwon,PKcon,BallRecov,WonAD,LostAD,Won%AD
1,Spain,Alaves,2017 - 2018,30,40.3,38,418,3420,40,32,1,3,1.05,0.84,1.89,1.03,1.87,2,51,1.34,177,136,0.751,15,2,21,NA,NA,11,7,3,1,2,7,2,253,596,42.4,540,71,70.2,47.4,232,93.5,62.3,418,22,5.3,9,0.24,12.9,393,137,22,34.9,10.34,3.61,0.1,0.28,9346,13461,69.4,190290,78386,119,416,28.6,6902,8729,79.1,2325,4316,53.9,266,817,193,72,1261,11966,1495,412,16,2750,415,562,130,2,2,0,7657,1615,4189,4691,6404,1190,648,175,90,439,300,420,581,15.29,409,55,38,22,57,66,1.74,49,3,3,5,6,0,606,383,335,205,66,188,611,30.8,423,6355,1521,23.9,2161,3024,1170,605,137,1,468,513,681,10,17627,2150,6162,8241,4235,639,16164,358,552,64.9,395,23,10639,62328,31995,11683,9346,80,448,370,111,154,1.24,40,50,-10,-0.26,4,604,531,113,562,3,10,3509,376,381,49.7
2,Spain,Athletic Club,2017 - 2018,27,49.6,38,418,3420,39,24,6,8,1.03,0.63,1.66,0.87,1.5,2,49,1.29,161,118,0.714,10,13,15,NA,NA,6,3,3,0,3,5,3,362,760,47.6,927,88,65.3,47.3,170,91.2,64.5,357,30,8.4,19,0.5,15.2,434,150,10,34.6,11.42,3.95,0.08,0.22,12708,17079,74.4,271525,97224,107,402,26.6,9004,11062,81.4,3597,5615,64.1,315,1188,313,105,1608,15649,1430,397,12,3110,548,813,182,0,0,0,10595,1985,4499,4347,10240,1332,610,157,93,425,283,510,665,17.5,452,92,30,40,51,67,1.76,48,5,1,6,7,0,625,373,306,251,68,195,656,29.7,461,6864,1827,26.6,1969,3260,1635,595,109,3,486,477,508,10,21099,2132,6403,10287,5825,855,19702,324,548,59.1,361,26,13660,83874,44506,15390,12708,82.6,456,334,106,160,1.13,41,49,-8,-0.21,0,497,495,107,813,7,6,3627,440,337,56.6
3,Spain,Atletico Madrid,2017 - 2018,26,47.7,38,418,3420,57,40,4,5,1.5,1.05,2.55,1.39,2.45,2,22,0.58,129,109,0.837,23,10,5,NA,NA,4,1,3,0,1,2,1,153,457,33.5,506,71,60.1,45.1,185,82.7,58.2,390,30,7.7,10,0.26,14,416,152,12,36.5,10.95,4,0.13,0.35,14162,18218,77.7,263545,94131,203,505,40.2,11035,12987,85,2924,4726,61.9,298,1153,271,43,1592,16868,1350,364,15,3182,398,523,157,0,0,0,12383,1989,3846,5093,11033,999,587,176,98,339,347,485,624,16.42,437,71,38,27,51,96,2.53,72,2,9,6,7,0,714,463,375,263,76,205,668,30.7,463,6726,1852,27.5,2290,3035,1401,678,127,1,551,540,585,13,22528,2086,7072,10958,5949,845,21203,365,594,61.4,407,25,15484,85605,44875,16640,14162,85.1,454,388,110,156,2.08,58,22,36,0.95,3,487,483,110,523,3,4,3591,340,288,54.1
4,Spain,Barcelona,2017 - 2018,25,62.7,38,418,3420,96,58,3,5,2.53,1.53,4.05,2.45,3.97,2,29,0.76,136,109,0.801,28,9,1,NA,NA,2,2,0,0,0,1,0,149,317,47,935,130,27.2,30.1,107,58.9,47.3,297,28,9.4,22,0.58,15.9,581,264,59,45.4,15.29,6.95,0.16,0.35,21306,24812,85.9,389761,119736,232,604,38.4,16812,18657,90.1,4262,5551,76.8,418,1723,513,49,2023,23560,1252,351,44,4331,574,414,199,7,13,4,19986,2103,2723,8121,15032,723,532,204,112,270,442,559,954,25.11,705,48,74,53,74,169,4.45,123,6,13,16,11,0,499,345,233,194,72,158,509,31,351,6408,1786,27.9,1800,2956,1652,530,105,4,425,421,370,12,28834,2273,7716,14165,9030,1389,27625,617,953,64.7,673,35,22156,122011,66652,23805,21306,89.5,444,401,111,155,2.45,99,29,70,1.84,0,337,528,136,414,4,2,3158,242,179,57.5
5,Spain,Betis,2017 - 2018,29,57.1,38,418,3420,56,38,2,3,1.47,1,2.47,1.42,2.42,3,61,1.61,153,99,0.621,18,6,14,NA,NA,4,3,1,0,0,8,4,206,544,37.9,1109,119,39.7,35.9,160,65,47.7,367,34,9.3,21,0.55,14.4,412,161,21,39.1,10.84,4.24,0.13,0.34,17395,21045,82.7,339463,103592,119,367,32.4,13409,15165,88.4,3867,5513,70.1,310,1235,249,59,1473,19826,1219,374,25,3127,589,539,123,0,0,0,15695,1629,3721,8281,10908,943,480,200,53,430,325,411,652,17.16,508,38,46,23,37,94,2.47,73,4,3,8,6,0,500,321,263,181,56,136,490,27.8,354,5764,1535,26.6,1906,2698,1160,562,102,5,460,441,596,11,24882,2519,8155,12664,5697,694,23696,392,580,67.6,417,24,18494,103301,54217,19397,17395,89.7,459,367,113,153,1.58,60,61,-1,-0.03,1,453,498,63,539,1,1,3173,258,304,45.9
6,Spain,Celta Vigo,2017 - 2018,22,55.6,38,418,3420,57,41,2,3,1.5,1.08,2.58,1.45,2.53,2,60,1.58,167,112,0.665,13,10,15,NA,NA,5,4,0,1,0,8,1,208,612,34,1037,89,46,39.7,165,81.8,60.2,374,43,11.5,19,0.5,14.7,445,157,30,35.3,11.71,4.13,0.12,0.35,16520,20569,80.3,330795,106276,147,405,36.3,12288,14162,86.8,4085,6002,68.1,316,1226,320,90,1636,19301,1268,365,8,3645,549,580,142,1,2,0,14286,2113,4170,5317,13031,1215,532,175,81,435,315,411,724,19.05,550,48,36,39,51,103,2.71,71,6,7,10,9,0,488,306,278,166,44,148,463,32,315,5639,1614,28.6,1915,2496,1228,535,107,1,428,498,487,9,24396,2437,8186,12186,5669,822,23170,351,572,61.4,388,15,17652,102023,51916,18845,16520,87.7,441,365,107,157,1.29,59,60,-1,-0.03,0,410,548,97,580,2,3,3569,306,289,51.4
7,Spain,Eibar,2017 - 2018,26,52.1,38,418,3420,43,33,2,3,1.13,0.87,2,1.08,1.95,3,51,1.34,130,88,0.638,14,9,15,NA,NA,4,4,0,0,2,4,4,284,772,36.8,830,75,75.4,56.2,150,97.3,77,277,39,14.1,62,1.63,17.8,488,140,21,28.7,12.84,3.68,0.08,0.29,12513,17675,70.8,277032,96657,124,432,28.7,8475,10713,79.1,3914,6530,59.9,335,1260,281,125,1727,15964,1711,411,5,2908,776,1059,222,0,0,0,9660,2352,5663,3986,10584,1608,857,228,68,666,329,530,699,18.39,485,94,28,34,58,69,1.82,47,8,1,9,4,0,490,330,214,208,68,155,555,27.9,400,5993,1884,31.4,1365,2727,1901,526,55,0,471,564,394,9,21589,1645,5302,10733,6844,831,19889,341,554,61.6,377,12,13679,81498,39764,15436,12513,81.1,528,375,112,153,1.34,44,50,-6,-0.16,2,486,450,83,1059,3,4,4408,418,460,47.6
8,Spain,Espanyol,2017 - 2018,25,47.1,38,418,3420,33,25,2,3,0.87,0.66,1.53,0.82,1.47,2,42,1.11,166,130,0.771,12,13,13,NA,NA,7,4,2,1,0,5,2,194,548,35.4,619,132,56.1,43.9,213,94.4,64.4,373,40,10.7,18,0.47,14.3,422,134,16,31.8,11.11,3.53,0.07,0.23,12349,16797,73.5,245088,86586,111,413,26.9,9205,11177,82.4,3033,5207,58.2,294,980,238,93,1405,15331,1466,400,11,2783,483,721,157,3,4,0,10431,1942,4424,5407,8973,1270,633,198,66,444,324,516,608,16,447,58,32,32,39,60,1.58,42,3,5,3,7,0,573,353,313,201,59,187,637,29.4,450,6157,1580,25.7,1928,2911,1318,553,121,2,432,539,571,9,20772,2110,7101,10014,4864,666,19340,354,537,65.9,392,17,13621,74832,37766,14682,12349,84.1,444,350,105,161,1.29,36,42,-6,-0.16,1,520,538,80,721,3,6,3739,320,351,47.7
9,Spain,Getafe,2017 - 2018,32,40.3,38,418,3420,41,24,5,12,1.08,0.63,1.71,0.95,1.58,2,33,0.87,127,96,0.756,15,10,13,NA,NA,4,2,1,1,0,5,0,258,800,32.3,694,68,76.8,55.8,268,99.6,70.1,365,52,14.2,22,0.58,14.6,368,125,15,34,9.68,3.29,0.1,0.29,8463,13094,64.6,179015,77315,147,447,32.9,5973,7976,74.9,2343,4671,50.2,256,840,278,68,1423,11349,1745,485,17,2308,495,589,174,0,0,0,6438,1805,4851,2419,8066,1289,756,146,92,451,304,461,534,14.05,343,78,38,27,48,62,1.63,34,8,7,5,8,0,573,390,309,206,58,202,648,31.2,446,6210,1583,25.5,1926,3029,1255,567,79,0,488,496,560,11,17018,1916,5549,7551,4869,685,15310,310,536,57.8,338,24,9975,57837,28297,11074,8463,76.4,452,404,113,153,1.45,42,33,9,0.24,4,664,503,109,589,11,3,3912,341,405,45.7
10,Spain,Girona,2017 - 2018,25,46.6,38,418,3420,50,24,6,8,1.32,0.63,1.95,1.16,1.79,2,59,1.55,173,121,0.682,14,9,15,NA,NA,5,4,0,1,3,1,3,233,620,37.6,663,97,67.4,48.3,186,93,66.1,320,29,9.1,20,0.53,14.2,462,154,24,33.3,12.16,4.05,0.1,0.29,11411,15586,73.2,243527,86963,110,339,32.4,8072,9843,82,3229,5404,59.8,327,995,249,110,1401,14195,1391,402,4,3029,730,823,164,0,0,0,9200,1772,4614,5071,8045,1321,568,194,68,439,276,403,685,18.03,434,99,37,36,79,76,2,42,9,7,7,11,0,498,317,249,195,54,164,555,29.5,391,6038,1547,25.6,1731,3003,1304,530,96,3,434,478,533,12,19453,1939,6406,9342,4912,744,18068,338,555,60.9,374,20,12583,75690,37673,13525,11411,84.4,431,360,106,159,1.34,50,59,-9,-0.24,0,587,465,82,823,6,5,3711,387,364,51.5
